timestamp,open,high,low,close,volume
2024-09-02T08:00:00+00:00,57548.0,58680.76,57520.12,58422.01,5072.33101
2024-09-02T12:00:00+00:00,58422.01,58808.0,58104.0,58537.99,4023.88935
2024-09-02T16:00:00+00:00,58537.99,58666.64,58293.12,58439.99,2856.4724
2024-09-02T20:00:00+00:00,58440.03,59425.69,58384.61,59132.13,3720.83593
2024-09-03T00:00:00+00:00,59132.12,59809.65,59021.62,59110.99,3188.73817
2024-09-03T04:00:00+00:00,59111.0,59259.0,58872.0,59112.0,2786.55038
2024-09-03T08:00:00+00:00,59112.01,59195.63,58717.0,59072.0,2434.05695
2024-09-03T12:00:00+00:00,59072.01,59350.0,57568.0,57725.0,8190.06416
2024-09-03T16:00:00+00:00,57725.01,58251.09,57589.01,58046.0,3746.4115
2024-09-03T20:00:00+00:00,58045.99,58247.0,57415.0,57487.73,2482.36331
2024-09-04T00:00:00+00:00,57487.74,57943.53,55606.0,56653.98,10008.5459
2024-09-04T04:00:00+00:00,56653.99,56881.0,56201.0,56746.0,5570.10401
2024-09-04T08:00:00+00:00,56746.0,56909.94,56453.0,56573.0,3012.85274
2024-09-04T12:00:00+00:00,56573.0,58181.43,56187.61,58134.0,9903.94203
2024-09-04T16:00:00+00:00,58134.0,58519.0,57646.0,58058.01,5284.73247
2024-09-04T20:00:00+00:00,58058.0,58390.0,57792.46,57970.9,1780.64431
2024-09-05T00:00:00+00:00,57970.9,58327.07,56891.07,57135.42,4718.02876
2024-09-05T04:00:00+00:00,57135.42,57291.1,56541.68,57155.1,3337.56535
2024-09-05T08:00:00+00:00,57155.1,57232.0,56623.0,56698.01,2824.97809
2024-09-05T12:00:00+00:00,56698.01,57350.0,55817.51,55976.01,10200.08948
2024-09-05T16:00:00+00:00,55976.01,56710.0,55800.0,56060.01,4306.58366
2024-09-05T20:00:00+00:00,56060.0,56259.97,55643.65,56180.0,2419.66879
2024-09-06T00:00:00+00:00,56180.0,56858.88,55989.0,56588.0,3089.15324
2024-09-06T04:00:00+00:00,56588.01,56747.91,55280.0,55804.29,5943.85272
2024-09-06T08:00:00+00:00,55804.28,56262.11,55639.0,55999.09,4116.26102
2024-09-06T12:00:00+00:00,55999.09,57008.0,53808.0,54045.01,21136.96377
2024-09-06T16:00:00+00:00,54045.0,54435.0,53267.54,53534.28,11314.50356
2024-09-06T20:00:00+00:00,53534.27,53969.99,52550.0,53962.97,8847.03395
2024-09-07T00:00:00+00:00,53962.97,54095.65,53745.54,53818.91,2283.19066
2024-09-07T04:00:00+00:00,53818.92,54405.37,53814.0,54286.0,4210.82665
2024-09-07T08:00:00+00:00,54286.0,54492.98,54168.23,54326.0,2289.86562
2024-09-07T12:00:00+00:00,54326.01,54829.0,54326.0,54780.0,2510.87487
2024-09-07T16:00:00+00:00,54780.0,54850.0,54000.0,54404.01,3137.77696
2024-09-07T20:00:00+00:00,54404.01,54437.97,53814.01,54160.86,2261.51298
2024-09-08T00:00:00+00:00,54160.86,54509.0,53964.0,54402.99,1979.50014
2024-09-08T04:00:00+00:00,54402.98,54575.0,54261.1,54436.25,1722.23364
2024-09-08T08:00:00+00:00,54436.25,54722.85,54356.0,54556.08,1765.73164
2024-09-08T12:00:00+00:00,54556.08,54567.0,53640.0,53687.0,3500.41607
2024-09-08T16:00:00+00:00,53686.99,54531.1,53629.01,54337.01,2289.20807
2024-09-08T20:00:00+00:00,54337.02,55318.0,54184.0,54869.95,5017.05823
